Source,Target,Weight
N1578,N933,1
N1578,N1579,1
N1012,N9,1
N938,N30,1
N938,N74,1
N938,N78,1
N938,N53,1
N1176,N1180,1
N1176,N1179,1
N1176,N1178,1
N1176,N1177,1
N1119,N933,1
N1119,N316,1
N681,N3,5
N619,N113,1
N1538,N1515,2
N1642,N1643,1
N1551,N3,1
N846,N3,1
N1250,N99,1
N1250,N5,1
N967,N379,1
N967,N127,1
N967,N969,1
N967,N113,1
N967,N120,1
N967,N968,1
N1526,N1527,1
N1798,N99,1
N1798,N5,1
N239,N241,1
N239,N240,1
N1197,N1203,1
N1197,N1202,1
N1197,N1201,1
N1197,N1198,1
N1197,N1200,1
N946,N3,1
N1322,N1323,1
N374,N375,1
N374,N92,1
N830,N3,1
N479,N480,1
N24,N1498,1
N24,N1507,1
N24,N1448,1
N24,N1499,1
N24,N25,1
N447,N443,3
N148,N221,1
N1252,N9,1
N1252,N204,1
N1252,N1254,1
N1252,N1253,1
N275,N5,2
N1047,N1048,1
N1845,N172,1
N1231,N145,1
N1231,N1232,1
N725,N3,1
N1630,N1631,1
N1095,N1096,1
N1058,N1057,10
N1058,N375,1
N1058,N1059,10
N1836,N228,1
N1836,N29,1
N1836,N121,1
N1635,N837,1
N159,N172,1
N159,N74,2
N1019,N1020,1
N1222,N670,1
N1222,N671,1
N1222,N1223,1
N1222,N5,1
N788,N789,1
N788,N791,1
N788,N792,1
N788,N790,1
N788,N793,1
N415,N3,1
N1754,N1750,2
N1754,N1752,3
N1754,N1751,3
N1754,N1753,3
N1392,N3,1
N350,N351,1
N519,N30,1
N1359,N99,1
N1359,N5,3
N1692,N1694,3
N1692,N982,2
N1692,N1693,3
N1646,N9,1
N1646,N30,1
N164,N167,2
N164,N166,1
N164,N1286,1
N164,N165,2
N405,N406,1
N405,N380,1
N405,N379,1
N405,N407,1
N405,N9,1
N405,N122,1
N950,N8,1
N971,N972,1
N971,N145,1
N971,N973,1
N971,N144,1
N1137,N29,1
N1137,N1036,1
N1137,N1139,1
N1137,N32,1
N1137,N1138,1
N1137,N121,1
N1854,N1855,1
N1854,N55,1
N1330,N216,1
N1009,N145,1
N1009,N144,1
N1295,N954,1
N1814,N172,1
N99,N5,11
N1851,N172,1
N1445,N1283,1
N947,N126,1
N947,N30,1
N947,N902,1
N947,N113,1
N947,N74,1
N28,N30,1
N28,N29,1
N28,N31,1
N28,N33,1
N28,N32,1
N1057,N1058,1
N1057,N1787,1
N1057,N1059,1
N1057,N1641,1
N1774,N1775,1
N1750,N1753,2
N1442,N1283,1
N531,N5,2
N1496,N1497,1
N980,N981,1
N1192,N1193,1
N276,N188,1
N276,N247,1
N276,N187,1
N276,N248,1
N276,N277,1
N309,N311,1
N309,N310,1
N309,N1414,2
N1463,N389,1
N392,N393,1
N368,N370,1
N368,N369,1
N104,N103,1
N104,N102,1
N873,N874,1
N45,N49,1
N45,N50,1
N45,N51,1
N45,N47,1
N45,N46,1
N45,N48,1
N45,N52,1
N45,N54,1
N45,N56,1
N45,N53,1
N45,N55,1
N1585,N9,1
N1585,N30,1
N1585,N29,1
N1585,N74,1
N394,N395,1
N6,N3,2
N117,N5,2
N1424,N1334,1
N658,N316,1
N1628,N933,1
N1628,N30,1
N1628,N181,1
N1632,N3,1
N849,N850,1
N188,N185,1
N188,N187,7
N188,N186,2
