Id,Label,Weight
N0,谷阿马,1.0
N1,徐文友,3.0
N2,普若闻巳,1.0
N3,快手,338.0
N4,切格瓦娜,1.0
N5,郑渊洁,131.0
N6,Rani云,2.0
N7,龙泉之城,2.0
N8,微言教育,157.0
N9,人民教育出版社微博,109.0
N10,榆次政法,1.0
N11,晋中政法,1.0
N12,南岳皖风,1.0
N13,柔风细雪01,5.0
N14,薯条小助手,2.0
N15,小红书,11.0
N16,爆璇威珑,4.0
N17,云梦张柏芝,4.0
N18,粤食火锅,4.0
N19,杏子珍斯华哆,4.0
N20,KoYing,4.0
N21,矢口鱼鱼子,1.0
N22,人教版数学教材,1.0
N23,月亮偶踹弯的,2.0
N24,Angell是双子座,10.0
N25,默默大夜猫,1.0
N26,国王咖啡厦门13774692175,3.0
N27,Viat5506908125,3.0
N28,Jarvis乐园,5.0
N29,共青团中央,497.0
N30,人民日报,597.0
N31,共青团北京市12355,5.0
N32,新华社,47.0
N33,新华日报,5.0
N34,一方归人,1.0
N35,假如我能看到未来,2.0
N36,榆木川,11.0
N37,淘气点点点,3.0
N38,sw西南,6.0
N39,孙杨,6.0
N40,罗永浩,6.0
N41,摩登兄弟刘宇宁,6.0
N42,胖子孙越,6.0
N43,岳云鹏,6.0
N44,沈腾,6.0
N45,Pony-吗,11.0
N46,广州日报,11.0
N47,广州全搜索,11.0
N48,广州日报大洋网,11.0
N49,广东发布,11.0
N50,广东新闻网,11.0
N51,广东民声热线,11.0
N52,新闻晨报,14.0
N53,直新闻,15.0
N54,澎拜新闻,11.0
N55,红星新闻,18.0
N56,澎湃新闻,66.0
N57,汉星,1.0
N58,赵薇,1.0
N59,海宝HAOBAO,3.0
N60,罗蔼轩轩,5.0
N61,清风霁月-微尘,5.0
N62,橘子洲头2011,5.0
N63,琥珀平安,2.0
N64,安徽反邪教,126.0
N65,小荷爱微博2001,2.0
N66,飞向星辰大海2020,1.0
N67,男儿当自强677,1.0
N68,人海茫茫202111,4.0
N69,zy-cumt,33.0
N70,迟夙生律师,49.0
N71,刘五一,45.0
N72,北京谢通祥律师,45.0
N73,蜜桃onepiece-,11.0
N74,央视新闻,427.0
N75,法治日报,253.0
N76,复利财经,2.0
N77,新浪财经,2.0
N78,新浪新闻,7.0
N79,刘志勇xj,11.0
N80,煎蛋叁号,2.0
N81,王鹏皓4mZ5,10.0
N82,眼睛累到的我,6.0
N83,寂风之痕6253,1.0
N84,鸡蛋牛奶逗妇乳,16.0
N85,我是幸运的锦鲤鱼,4.0
N86,北京头条,4.0
N87,中央人民广播电台,4.0
N88,全球曝光头条,4.0
N89,央视新闻周刊,4.0
N90,白鹿学堂,14.0
N91,张捷观察-谁是谁非任评说,94.0
N92,明德先生,152.0
N93,普法达人张三,7.0
N94,乌鸦校尉,11.0
N95,思想火炬,15.0
N96,习五一,1.0
N97,范勇鹏-,5.0
N98,龚俊和张哲瀚的粉丝789,2.0
N99,George-13,22.0
N100,机械专利代理人,1.0
N101,胡二摩四先生,4.0
N102,钢铁小蜗牛,8.0
N103,佛心蛊,5.0
N104,Oran猪,5.0
N105,情有独钟2341,1.0
N106,南京中院违法,2.0
N107,叫兽兔,1.0
N108,冷默涵不冷,1.0
N109,弋江区防范宣传,1.0
N110,养兔低手,1.0
N111,一下之前说我考不上美院的人,1.0
N112,沧浪客201807,1.0
N113,人民网,149.0
N114,人民网评,7.0
N115,赵立坚个人微博,167.0
N116,歌华影视,1.0
N117,Rechaa,2.0
N118,呼呼兵,5.0
N119,莫小强_,13.0
N120,光明日报教育部,25.0
N121,紫光阁,219.0
N122,新浪教育,45.0
N123,中央团校,13.0
N124,央视网,13.0
N125,央视一套,13.0
N126,中国新闻网,58.0
N127,中国新闻周刊,256.0
N128,头条新闻,120.0
N129,hohosong,9.0
N130,子贇zy,195.0
N131,观察者网,192.0
N132,萧县反邪,2.0
N133,卍ckxchdsrf,1.0
N134,年少不知ID贵llllllll,1.0
N135,刺莓L,2.0
N136,柠檬可小了,1.0
N137,方青松,9.0
N138,爱读书的小洋洋919,1.0
N139,萨格瓦那燃烧的灰烬,1.0
N140,紫崴星雨,8.0
N141,挂满星河,1.0
N142,阿莎fans,1.0
N143,午饭奶茶熏肉卷,2.0
N144,谢耳朵家里的费曼,90.0
N145,爱米莉Emily,94.0
N146,岁月如依旧,1.0
N147,代号猫奴19867_zai,1.0
N148,A期待yuer,3.0
N149,守望平静006,1.0
N150,三明学院资源与化工学院团委,8.0
N151,三明学院海峡理工学院团委,8.0
N152,三明学院文化传播学院团委,8.0
N153,三明学院管理学院团委,8.0
N154,三明学院教育与音乐学院团委,8.0
N155,三明学院体育与康养学院团委,8.0
N156,三明学院信工学院团委,8.0
N157,三明学院微博协会,8.0
N158,三明学院团委,8.0
N159,CCTV巴德赛尔,3.0
N160,芳远2001,2.0
N161,念念不忘是我的名,1.0
N162,fzj142018,6.0
N163,咬肉3000,4.0
N164,EllenSnow_Nysa在飘雪,8.0
N165,踩蘑菇的小姑娘_mama,9.0
N166,毛茸茸的团子,11.0
N167,四月鲤,10.0
N168,荣茂财经,1.0
N169,荣茂国学智慧,1.0
N170,明天过后YSX,3.0
N171,pep,5.0
N172,moe,74.0
N173,坚持到底hql,4.0
N174,海阔天空528,1.0
N175,美国CNN网,1.0
N176,李实Sebastian,3.0
N177,史老柒,3.0
N178,理想与现实202209,3.0
N179,此君無戲言,3.0
N180,北京-九门提督,1.0
N181,教育部,32.0
N182,平生愿为一侍中,1.0
N183,睿法,1.0
N184,ganfanmachine,4.0
N185,余澜Jxxny,7.0
N186,憶塵丶,9.0
N187,当我不存在JK,27.0
N188,Sunshinerui欢喜,27.0
N189,王律师5118,5.0
N190,凤凰新闻客户端,41.0
N191,彤彤在长安,30.0
N192,Leon_Caesar,1.0
N193,米伊美奥菲斯,1.0
N194,杨楼ing,1.0
N195,月亮是白天的结束,1.0
N196,骄傲的珍珠,2.0
N197,涛哥漫聊,2.0
N198,微博视频,3.0
N199,草根儿001,2.0
N200,快手热点,2.0
N201,老叫化子石器收藏,3.0
N202,老汉2653964185,2.0
N203,小龘koko,2.0
N204,有狼人,14.0
N205,防蛙办秘书Natasza,3.0
N206,nnllbb,9.0
N207,改修闭口禅,1.0
N208,乌合麒麟,183.0
N209,良郎0727,5.0
N210,午时到,2.0
N211,白茶爹,1.0
N212,火箭神州二十号,4.0
N213,张晋温文爾雅,2.0
N214,丁辰灵,10.0
N215,风语智者739,1.0
N216,网易新闻客户端,13.0
N217,梦里拒绝千亿家产99次,1.0
N218,瑶池人满为患,1.0
N219,紫气东来天,1.0
N220,tinsin,8.0
N221,中国长安网,47.0
N222,勇敢面对假如我做官,1.0
N223,过世者硬行人间,1.0
N224,热情的无知,1.0
N225,双滋电影总部光哥,1.0
N226,恬啊啊呗,2.0
N227,河南村镇银行还我钱200707,11.0
N228,中国政府网,294.0
N229,央行微播,11.0
N230,央视社会与法,11.0
N231,光明网,11.0
N232,凤凰金亮,11.0
N233,财经知识分享官,11.0
N234,上海证券报,11.0
N235,财会信报,11.0
