Id,Label,Weight
N236,梨视频,11.0
N237,侃爷财经,11.0
N238,证券时报,11.0
N239,90后丧系青年,2.0
N240,财经网,2.0
N241,凤凰周刊,2.0
N242,灰灰2510,2.0
N243,因热爱而自由,1.0
N244,妞妞不抽烟,1.0
N245,美人他们说我,1.0
N246,Unknown猥瑣阿叔,4.0
N247,dennisjiang_SH02,16.0
N248,泠度不是冷度,18.0
N249,过河的石头-GB,2.0
N250,宁夏政法,1.0
N251,soupoO根,1.0
N252,用户6434025362,1.0
N253,hyhero-微言博义,2.0
N254,编剧盛世小评姒传双,1.0
N255,手绘风俗风情,1.0
N256,骨科阿伦,1.0
N257,湖南工业大学青志联体育学院分会,1.0
N258,湖南工业大学青年志愿者联合会,1.0
N259,苍烟野鹤,7.0
N260,为了打造品质,2.0
N261,梦angell,3.0
N262,沙漠金狐_48420_302,15.0
N263,手机用户2172968457,1.0
N264,淘淘宝tt,1.0
N265,莲莲200411,1.0
N266,上海君子道场,10.0
N267,深圳市人民检察院,1.0
N268,怀念过去的一切68295,1.0
N269,一点星光微微亮,1.0
N270,肖xz走,1.0
N271,教育局,12.0
N272,咸鱼仍有梦二号机,2.0
N273,导演戎震,5.0
N274,爽朗的金角大王,2.0
N275,B612小星星一闪一闪亮晶晶,3.0
N276,MutekiDaDa,5.0
N277,滚玉,9.0
N278,柯柯不可,2.0
N279,小妖精523,7.0
N280,北京日报,12.0
N281,意志坚强的跨越,4.0
N282,大树guoan,1.0
N283,宿松正道,4.0
N284,水番金匀,1.0
N285,重庆九龙坡法院,2.0
N286,西部决策L西部决策的微博视频,1.0
N287,魏运高298632,1.0
N288,海船长1026,1.0
N289,用户5321526063,1.0
N290,爱江山更爱美仁,1.0
N291,街拍邯郸,1.0
N292,西部决策,25.0
N293,邯郸之窗,1.0
N294,广东检察,1.0
N295,我的个神6008073899,1.0
N296,小草niu,1.0
N297,对想见你,2.0
N298,王雨48144,4.0
N299,蜡康康,8.0
N300,现代抽象派,11.0
N301,汤圆圆和黑脸脸,30.0
N302,上海动物园,30.0
N303,北京动物园微博,29.0
N304,国家林业和草原局,29.0
N305,正北正东,4.0
N306,浪里赤条小粗林,4.0
N307,熠熠Yaya,2.0
N308,kylin1717,2.0
N309,NOSTUPID3,5.0
N310,水每水定区公民,2.0
N311,我係曾先森吖,2.0
N312,晓余,2.0
N313,安小逸插画,2.0
N314,尤瓦尔诺亚赫拉利,2.0
N315,武汉视觉艺术研究,3.0
N316,司马南,180.0
N317,透视频,7.0
N318,用户5320885429,3.0
N319,天祝县融媒体中心,1.0
N320,甘肃发布,1.0
N321,罗庄发布,1.0
N322,战争非主谋,1.0
N323,行健Ldx,2.0
N324,勺与,2.0
N325,一雙拖鞋行天涯,4.0
N326,武汉市文化和旅游局,4.0
N327,新浪旅游,4.0
N328,新浪湖北,4.0
N329,湖北省文化和旅游厅,4.0
N330,蚌埠反邪教,2.0
N331,咖啡树6161139213,1.0
N332,搜狐新闻客户端,1.0
N333,潘集政法,2.0
N334,纳凉鸣竹,2.0
N335,人教网官方微博,4.0
N336,邱江杰Q_176,3.0
N337,赖皮Juglans,2.0
N338,了201704,2.0
N339,清江廉风,2.0
N340,刚子聊生活,1.0
N341,微博影集,2.0
N342,紫苹果的秘密,1.0
N343,我爱王一博他真好,2.0
N344,达旗政法委,1.0
N345,旌旗长缨,4.0
N346,潞祤,4.0
N347,南海潮V,3.0
N348,四季繁花相伴,3.0
N349,国家新闻出版署,3.0
N350,Danish陳,1.0
N351,人民教育出版,1.0
N352,有爱花酿,1.0
N353,小土大橙子,2.0
N354,方向的探索者之快人快语,3.0
N355,摩竭雁南飞11,1.0
N356,湖北大学校团委,1.0
N357,长沙政法,1.0
N358,跟腐败分子做斗争,2.0
N359,上上谋-品牌策划,2.0
N360,風徽草堂,2.0
N361,侠客岛,8.0
N362,低卡与毛线,1.0
N363,开始只是为结束丶,1.0
N364,和林县委政法委,1.0
N365,叶芝叶,1.0
N366,奶泡泡童17310695780,1.0
N367,百姓申冤111,1.0
N368,Opps_Moonlight,2.0
N369,诗亦Liu0310,1.0
N370,我要用心对待你,1.0
N371,董苳苳,10.0
N372,逆行者258,1.0
N373,种花家的Alicia,1.0
N374,Aliphoto,2.0
N375,地瓜熊老六,142.0
N376,Tok托尼,1.0
N377,杂乱无章叽叽歪歪,1.0
N378,聚宝鹏1992,4.0
N379,中国教育电视台,29.0
N380,中国教育报,23.0
N381,用户6008734417,1.0
N382,芜湖检察,1.0
N383,正义网,2.0
N384,张泰霖,4.0
N385,侯宁,8.0
N386,饱乐促和谐反极端,11.0
N387,联合国儿童基金会,6.0
N388,rosepy燕子,1.0
N389,小菠萝Slience,2.0
N390,魔人布欧板绘,1.0
N391,萋满别情,44.0
N392,OH-JIE,6.0
N393,沃腻玛,2.0
N394,QvQ奔腾吧透明星人,1.0
N395,围脖一锅出,2.0
N396,凌拾伍的猫,1.0
N397,桀骜的莲,1.0
N398,黑旋风2276954993,1.0
N399,恒仪666,1.0
N400,西北旺10号频道,1.0
N401,七环视频,2.0
N402,卐墨雨卍,2.0
N403,民族美术付爱民,2.0
N404,旅行的小麦,2.0
N405,Ellen的梦很简单,6.0
N406,中国教育在线,6.0
N407,中国教育研究,19.0
N408,宝贝丶不哭-,2.0
N409,用户1773351395,1.0
N410,笔画笙_,1.0
N411,宝宝說她不喜欢這様,1.0
N412,Oy7ldu0,1.0
N413,a西南科技大学数理学院学习部,1.0
N414,西南科大学生会学习部,1.0
N415,Christine·余生简单,1.0
N416,不知道改啥名但就是有想长长名字,1.0
N417,cookie澜,1.0
N418,不信邪201710,1.0
N419,林盛小白兔,1.0
N420,业余的YU,1.0
N421,仙岛湖船家,1.0
N422,向阳花de幸福,1.0
N423,网易科技频道,1.0
N424,派财经官微,7.0
N425,用户8流风回雪6,1.0
N426,千佛山下的风,3.0
N427,济南教育微播报,3.0
N428,济南12345,3.0
N429,山东省教育厅,3.0
N430,xsheng_li,1.0
N431,自贡教育体育,1.0
N432,四川教育发布,1.0
N433,手机用户2756924533,1.0
N434,热爱美好生活的珍妮,17.0
N435,人民公安报,17.0
N436,腾讯新闻,10.0
N437,金衢九维,1.0
N438,玉虚龙宇君,54.0
N439,中国反邪教,61.0
N440,劉德華範,51.0
N441,方方,51.0
N442,有狐噢狐狐,54.0
N443,汪海林,51.0
N444,金碟打牌,51.0
N445,我有辣味跟我走,51.0
N446,午夜南瓜SQL,51.0
N447,AutoportraitVanGogh,51.0
N448,别扒拉颜狗,51.0
N449,川崎BGM归来,51.0
N450,起肖蔷,51.0
N451,胜利主义章北海,58.0
N452,拆台CT,51.0
N453,盘艺,2.0
N454,启贺,4.0
N455,刘凯敬,3.0
N456,春夏秋冬四季a,1.0
N457,广东新闻联播,1.0
N458,祖国统一055,1.0
N459,斯迈特汽保,1.0
N460,猛然君,1.0
N461,科技重症者,1.0
N462,果壳趣科,1.0
N463,漫步人生路图,1.0
N464,周希澈zz,1.0
N465,一兜寡言,1.0
N466,用户5805276729,3.0
N467,韩诺清羽,1.0
N468,好啄木鸟,1.0
N469,狂奔的蜗牛3131430423,1.0
N470,那个角落的男孩,2.0
N471,上帝之鹰_5zn,2.0
N472,帝吧官微,13.0
N473,微时讯999,2.0
N474,风清扬945,1.0
N475,格桑察悟,1.0
N476,用户5984597396,1.0
N477,秦皇岛网络辟谣,1.0
N478,中国网信杂志,1.0
N479,Angela_Wang3,1.0
N480,打烊23,1.0
N481,成都大学法学院,3.0
N482,成大青年,3.0
N483,成都大学学生宿管会,3.0
N484,成大建筑与土木工程学院,3.0
N485,Xin_Yu_Xuan,1.0
N486,扫黄打非,16.0
N487,年轻的苦咖啡110,3.0
N488,无法再圆的梦,1.0
N489,芬芳杜若sdr,46.0
N490,中国之声,46.0
N491,视觉中国,46.0
N492,极目新闻,46.0
N493,北疆女声,1.0
N494,我是学前班,2.0
N495,嗑cp的绮,1.0
N496,秋霜何处,2.0
N497,用户7339050173一力,2.0
N498,内内吖,4.0
N499,中国青年网,4.0
N500,中国警方在线,4.0
N501,咖啡红茶2002,1.0
N502,校园儿日记本,1.0
N503,沸点壹刻,5.0
N504,sundy_51407,1.0
N505,春日序曲12138,1.0
N506,凭啥推给我的都是bl没有gl,3.0
N507,巧工记,1.0
N508,嘿嘿嘿嘿黑嘿黑,1.0
N509,稀土高新长安网,1.0
N510,内蒙古法制报官方微博,1.0
N511,竹子198412,1.0
N512,失得千虑,1.0
N513,生命的遗迹,1.0
N514,什么时候可以当一次锦鲤,1.0
N515,地址不对丶你在哪,1.0
N516,威海播报,1.0
N517,嘎嘣脆6888,1.0
N518,心若向阳无畏悲伤33,2.0
N519,DoNews,1.0
N520,商业秀V,1.0
N521,法治新都,1.0
N522,安宁检察O网页链接,1.0
N523,百色新闻网,1.0
N524,互联网时雨说,1.0
N525,互联网产品小石,1.0
N526,可以83230,1.0
N527,乔哥的精彩世界,1.0
N528,土豆冲冲冲,1.0
N529,海曙发布,1.0
N530,山丹发布,1.0
N531,LilyYlltn颜,2.0
N532,广州铁路,1.0
N533,连云港校园,1.0
N534,淡漠丶涐的噯_406,1.0
N535,井岗镇综治中心,1.0
N536,唐山广播电视报,1.0
N537,微博读书,1.0
N538,用户5857938493,1.0
N539,新浪科技,1.0
N540,绵阳日报社,1.0
N541,泰山检察,1.0
N542,锦州太和区检察院,1.0
N543,临夏州司法局官博,2.0
N544,甘肃省司法厅官微,3.0
N545,陇原政法,4.0
N546,繁昌防范,2.0
N547,杨庙正道,4.0
N548,李太太高,1.0
N549,番茄大花卷儿,1.0
N550,原来是肥肥肥鹤鹤鹤,2.0
N551,抽风的蚊香,2.0
N552,柠檬味海岛,1.0
N553,营养科普汤哥,1.0
N554,河北广电,1.0
N555,糖耳朵不乖,2.0
N556,美美小三毛,1.0
N557,今日双流,1.0
N558,青春离歌2010,10.0
N559,大河报,19.0
N560,第一财经日报,10.0
N561,凤凰网财经,10.0
N562,沸点视频,10.0
N563,南京广播电视台,10.0
N564,南京日报,10.0
N565,昆明晋宁发布,1.0
N566,太白检察,1.0
N567,灵璧县向阳镇,2.0
N568,江门广播电视台,1.0
N569,风情影竹,2.0
N570,合肥反邪教,2.0
N571,聆神钟,6.0
N572,半月谈,142.0
N573,实在才幸运,1.0
N574,中国基金报,1.0
N575,九三检察,1.0
N576,清华大学,33.0
N577,法制日报,9.0
N578,YPeanng,1.0
N579,望月杀,1.0
N580,长丰正道,4.0
N581,绵阳新闻网,1.0
N582,扬66,2.0
N583,嘉峪关政法,1.0
N584,天津校园,2.0
N585,正义雷,1.0
N586,厚朴之,2.0
N587,韶山冲的红太阳,2.0
N588,合肥逍遥jin清韵,1.0
N589,新闻大连,1.0
N590,糖水小,1.0
N591,泡泡玛特,1.0
N592,隘口乡正道,2.0
N593,弎末,1.0
N594,大青海网,1.0
N595,行过万里山河的梦想,1.0
N596,昆明市西山区发布,1.0
N597,天合联盟河城航空,2.0
N598,丹丹249822684,1.0
N599,青晨视频,1.0
N600,张博律师,1.0
N601,云南峨山,1.0
N602,雨Z吹倒D了一X座山,2.0
N603,孺子牛程,1.0
N604,遂川政法,1.0
N605,我爱云雨雪烟花,2.0
N606,ZAKER,1.0
N607,宁波镇海检察,1.0
N608,新华播报肖华,1.0
N609,何北渣男,5.0
N610,安徽检察,1.0
N611,zoey166,2.0
N612,双桦检察,1.0
N613,贫贱不能幽默,3.0
N614,钺人戈,3.0
N615,是谁捡到我的高跟鞋,3.0
N616,曾经的月光鱼,3.0
N617,没啥来啥,1.0
N618,为发神经而生,3.0
N619,1048苏州交通广播,3.0
N620,如意堂主-2013,1.0
N621,新闻姐,9.0
N622,喝了一杯甜咖啡,5.0
N623,胡建元微博,2.0
N624,向阳20091,2.0
N625,妍无止境,1.0
N626,安崇民,1.0
N627,赵小懒的森林,1.0
N628,DT耶啵biu,1.0
N629,南泥湾199805,2.0
N630,用户7363601391,1.0
N631,用户5829726506,1.0
N632,信命就这样,4.0
N633,真爱与幸福随行,2.0
N634,安康政法,1.0
N635,zfw平安浦城,1.0
N636,阿龙哥BLOG,1.0
N637,度日淤青,1.0
N638,扬州电台江都广播,1.0
N639,扬帆手机频道,1.0
N640,徐徐海风0809,1.0
N641,用户6463709039,2.0
N642,英姿-木兰,5.0
N643,璞玉无痕,6.0
N644,环球时报,10.0
N645,华夏-铁血中伟,2.0
N646,今日毕节,1.0
N647,孔令泉记者,1.0
N648,O教育部成立调查组全面彻查教材插图问题,1.0
N649,狼就该吃肉,10.0
N650,西充交警,2.0
N651,老北京啊,1.0
N652,电白检察,1.0
N653,残昼2010,1.0
N654,有你肩宽,1.0
N655,菩提心7087,1.0
N656,3生石-往大同,1.0
N657,看了都知道,1.0
N658,SYZJHBS,1.0
N659,无量山夫,1.0
N660,手机用户农民工新时代民族脊梁,1.0
N661,爱股票APP,1.0
N662,宋中清主任律师,1.0
N663,金色之旅208,1.0
N664,新魅力校园,1.0
N665,乡下客,1.0
N666,迷茫-yqy,1.0
N667,老记宋军,1.0
N668,水果小小鹿,4.0
N669,無涯小書生,8.0
N670,乐啊童,17.0
N671,洛梅笙,15.0
N672,光辉网,1.0
N673,酒叭叭叭叭叭,2.0
N674,陈sir在线,2.0
N675,莹兒079,1.0
N676,发现广丰,2.0
N677,徽州反邪教,3.0
N678,小帅哥2318,2.0
N679,xxxVeronica1031,2.0
N680,南通叶SIR,3.0
N681,0527小虾米,5.0
N682,上海身边事,2.0
N683,六安天海通讯,2.0
N684,莹兒之我是我自己015,1.0
N685,申城大小事,1.0
N686,通信快报,1.0
N687,六安城事,1.0
N688,无声细雨201003,7.0
N689,水泊武松,41.0
N690,小老太9,1.0
N691,xinrui6868,3.0
N692,幸福平安三里庵,5.0
N693,欧阳志远来,2.0
N694,扎西德勒,3.0
N695,王凤武202205,3.0
N696,风语扶余,3.0
N697,北冥有条鱼在飞,2.0
N698,来拔牙啊谁怕谁,2.0
N699,第一播报,2.0
N700,落落大方的人,2.0
N701,心有信息树,24.0
N702,何春银微想,24.0
N703,孟祥远,24.0
N704,叶青,24.0
N705,吴世柱圣典律师,24.0
N706,江苏道法自然,24.0
N707,江苏梁,24.0
N708,草原书怀-财经讯息,24.0
N709,吴翔华住房市场与政策,24.0
N710,南京大俭,24.0
N711,大丰老季,24.0
N712,南京微博名人汇,24.0
N713,白鹤-老邓,24.0
N714,Tianzicainal,2.0
N715,弗安叶丹,2.0
N716,王先森想吃芋圆,2.0
N717,丿白鲨,2.0
N718,轩墨之家,3.0
N719,龙福山庄青青,2.0
N720,洪武大帝朱元璋200207,1.0
N721,慕繁漪,2.0
N722,中商微视点,2.0
N723,无锡夏雨,1.0
N724,攸荧国风摄影,1.0
N725,Bb97364,1.0
N726,恒足堂上,2.0
N727,财神活宝,133.0
N728,无为李爷,131.0
N729,子午侠士,131.0
N730,作家圆圆,146.0
N731,李檬萌-,131.0
N732,孤烟暮蝉,131.0
N733,别梦依稀笑逝川,131.0
N734,帝吧资讯,131.0
N735,朱继东,132.0
N736,中国历史研究院,131.0
N737,金灿荣教授,131.0
N738,占豪,132.0
N739,武力统一,131.0
N740,心来观海007,1.0
N741,木士游,2.0
N742,现代农村人520,2.0
N743,缘来缘去6441766459,2.0
N744,落红春泥123,14.0
N745,道子666,2.0
N746,用户5470337175,2.0
N747,真是啥都不是的自己,1.0
N748,汐-年,1.0
N749,1界面9,1.0
N750,深山劲松199,1.0
N751,西南科大马克思主义学院组织部_,15.0
N752,西南科技大学校团委组_织_部,14.0
N753,西南科技大学理学院团委组织部_,14.0
N754,西南科技大学信控团委组织部_,14.0
N755,西南科技大学法学院团委组织部_,14.0
N756,西南科技大学体育学科部组织部1,14.0
N757,西南科大应技学院组织部_,14.0
N758,筑华而立西南科大土建组织部_,14.0
N759,西南科技大学生命团委组织部_,14.0
N760,西南科技大学外语团委组织部_,14.0
N761,西南科技大学经管团委组织部_,14.0
N762,西南科技大学国防团委组织部_,14.0
N763,西南科技大学文艺团委组织部_,14.0
N764,西南科技大学材料团委组织部_,14.0
N765,西南科技大学计科团委组织部_,15.0
N766,熊猫阿培,4.0
N767,我爱做点心,2.0
N768,如风180715,1.0
N769,闲逸散人MAO,2.0
N770,茶树丁,1.0
N771,上海紫荆竹,1.0
N772,平凡的的活着,2.0
N773,YY北伦,1.0
N774,光伏嗲嗲,1.0
N775,馒头掉了怎么办,3.0
N776,中国青年报,3.0
N777,皇家礼炮878,1.0
N778,寻锋人,1.0
N779,雪狐05103,3.0
N780,萌笑笑不哭,1.0
N781,四川反邪教,1.0
N782,四川监狱,1.0
N783,法治四川,1.0
N784,今天一定要喝水呀,2.0
N785,lucifer眼泪,4.0
N786,宝宝枣尚好,3.0
N787,荣县川大帮,1.0
N788,ChenPsy,5.0
N789,许超医生,5.0
N790,颜文字君,5.0
N791,重工组长于彦舒,5.0
N792,陈生大王,5.0
N793,马伯庸,5.0
N794,刘是成,1.0
N795,中访网财观,1.0
N796,蚌埠平安经开,2.0
N797,禹会正道,2.0
N798,怀远正道,2.0
N799,金色的太阳66,3.0
N800,走走看看的小黄鱼,3.0
N801,从不安于现状,4.0
N802,希希美丽的神话,4.0
N803,o咪朵儿,5.0
N804,时代视频,1.0
N805,冰心雨秋_sean,8.0
N806,叶建勛,1.0
N807,扬子晚报,1.0
N808,到上流击水,1.0
N809,非夷所思,1.0
N810,erer846,1.0
N811,如东政法,1.0
N812,内蒙古反邪教,1.0
N813,江宁小凡,1.0
N814,天工智慧研究院,1.0
N815,馨公益,1.0
N816,公益时报,1.0
N817,无二无别的你我,1.0
N818,重庆检察,1.0
N819,elevenmcx,1.0
N820,中国网直播,1.0
N821,政视频,1.0
N822,不会说话的歌词,1.0
N823,妮焖一盆鱼丸,1.0
N824,风亦化成雪飞,1.0
N825,小逸子233333,1.0
N826,liqj静,1.0
N827,大黑猫聊聊事,2.0
N828,用户旭日初升,2.0
N829,芒果57529,2.0
N830,Amy半糖奶茶,1.0
N831,怒放的生命49309,1.0
N832,茉莉花香1401,2.0
N833,央视财经,107.0
N834,zv_1199911,1.0
N835,ei777w,2.0
N836,宋小样儿,4.0
N837,新华网,23.0
N838,兴化语文网,1.0
N839,遇见小亿_zero,1.0
N840,中华义勇军茉莉,1.0
N841,中华义勇军召集人,2.0
N842,恨水不成冰_,1.0
N843,南京师范大学出版社,1.0
N844,LMM70,2.0
N845,看书随缘咯,2.0
N846,5000年的约定,1.0
N847,不虚此生1977,1.0
N848,兔子-绿,2.0
N849,SiMingJames,1.0
N850,conkeror,2.0
N851,跳动的宇宙弦,1.0
N852,林南州河,1.0
N853,竹石的善良,1.0
N854,宁静致远-刘微芝,2.0
N855,茂林修竹自由自在,9.0
N856,ghost_plus,1.0
N857,尚小尚好,1.0
N858,用户7bfmk2a8yj,5.0
N859,生活与茶品味人生,1.0
N860,xuchong0893_6626,1.0
N861,zhizuchangle2019,1.0
N862,晴朗无月的夜,2.0
N863,國王咖啡13774692175,2.0
N864,洗心68525,1.0
N865,芜湖反邪教,1.0
N866,在正义的路上狂奔,1.0
N867,蚌山正道,2.0
N868,快忘记了的时候,7.0
N869,星星不如你的眼睛亮晶晶,2.0
N870,napolicia,1.0
N871,一剑斩天涯,1.0
N872,纯血汉斯QAQ,2.0
N873,O记IC卡视频,1.0
N874,精致的情绪疯song,1.0
N875,扬眉668,6.0
N876,平民王小石,7.0
N877,求是,13.0
N878,钧正平,6.0
N879,若白既视感,2.0
N880,开心的妈咪yw,2.0
N881,微评论,4.0
N882,胡锡进,25.0
N883,微博时事,2.0
N884,helloijha,1.0
N885,稚嫩艺术家,1.0
N886,hi努力过就好09,5.0
N887,用户7166722877,4.0
N888,皇城根下刀笔吏,4.0
N889,赢销力李卫星,2.0
N890,中国文化产业促进会微博,2.0
N891,用星火,1.0
N892,推石上山198505,1.0
N893,korestar,1.0
N894,UncleHawk,9.0
N895,南方周末,9.0
N896,华商报,9.0
N897,媒体人张晓磊,9.0
N898,青年报,9.0
N899,陕西都市快报,10.0
N900,陕西都市热线,9.0
N901,根正苗红好少年呢,2.0
N902,人民日报评论,14.0
N903,开朗或慢热,1.0
N904,中国龙人世界,1.0
N905,smwuxian,7.0
N906,弍拾柒_,3.0
N907,三阳正道2,4.0
N908,歙县反邪,30.0
N909,国之贼也,5.0
N910,清华美院,8.0
N911,liuyonzhen813941871,1.0
N912,郑渊洁父子的粉丝,1.0
N913,TropicalSunset,1.0
N914,来去之间,1.0
N915,啵啵02509,1.0
N916,海在很远的地方,1.0
N917,龙哥数学之旅,1.0
N918,淮上正道,2.0
N919,墨家巨子令,1.0
N920,就瑶瑶瑶瑶吧,1.0
N921,白玉雪1,1.0
N922,渤海东方钺,1.0
N923,将来与未来,1.0
N924,o橘猫超凶o,1.0
