Id,Label,Weight
N215,-祎从中来-,1.0
N216,翟婉婷,1.0
N217,巨无齿-,1.0
N218,情舞飞扬57733,1.0
N219,可可栗子茶,1.0
N220,海报新闻,1.0
N221,大众网,1.0
N222,八两nan,1.0
N223,自在洒脱很佛系,1.0
N224,尤阿呆的日常remark,1.0
N225,Bonny_515,1.0
N226,哆啦MEI梦,1.0
N227,丹心映山河,1.0
N228,Mr杨里脊,1.0
N229,葫芦娃LZR,1.0
N230,啊啊啊啊aaaa1111,1.0
N231,向阳而生的战战,1.0
N232,铁岭市互联网协会,1.0
N233,腾讯新闻,1.0
N234,幼儿园在逃养猪大户,1.0
N235,毛小刚_49889,1.0
N236,0蓝天白云o,1.0
N237,言晓言ly,1.0
N238,公民力量2010,1.0
N239,进击的猪小猪,1.0
N240,橙心雅2215,1.0
N241,徐州同城会,5.0
N242,彬哥哥家的小仙女,1.0
N243,reborn小Q27,1.0
N244,了了独酌,1.0
N245,牛股交易猿,1.0
N246,人民日报海外版-海外网,1.0
N247,皇一姑娘,2.0
N248,小飞象或小飞侠,1.0
N249,金州检察,1.0
N250,网的这头是sq,2.0
N251,财富起飞2014,1.0
N252,cx坤hz洁,1.0
N253,通天書生諸葛臥龍,1.0
N254,一个用户2021,1.0
N255,一晃又三年,1.0
N256,QQ音乐,1.0
N257,中国日报网,1.0
N258,徽搏用户,5.0
N259,微博小秘书,5.0
N260,微博教育,5.0
N261,微博校园,5.0
N262,i菠萝蜜i,4.0
N263,中国之声,4.0
N264,东风快递,4.0
N265,花猫喵喵921,1.0
N266,齐齐哈尔市恒昌中学,1.0
N267,白了佛罗,4.0
N268,用户7556039792,1.0
N269,愿从本性999,2.0
N270,晴天----的雨,2.0
N271,微博时事,1.0
N272,徐记观察,1.0
N273,大闹天宫是俺老猪指挥的,1.0
N274,90后的苏先生,1.0
N275,小宇宙球球,2.0
N276,为了祖国的遥远的海岸,1.0
N277,河南广播电视台新闻中心,1.0
N278,长江日报,4.0
N279,珍妮玛得劲,7.0
N280,人民日报其心可诛,7.0
N281,中国政府网,7.0
N282,幽小尤,1.0
N283,股道叶开,5.0
N284,超烂的好吗,1.0
N285,嗲囡葵宝炫我嘴里,1.0
N286,晋江文学城,1.0
N287,宋中清主任律师,1.0
N288,Vista看天下,5.0
N289,扬州交通广播,5.0
N290,Arki-BX,1.0
N291,老特拉福德永不离场死忠球迷女神,1.0
N292,张小泉剪刀厂女工,1.0
N293,杰西卡鑫淼陈,1.0
N294,皇小小,1.0
N295,你管我198606,1.0
N296,主编赵旭东,1.0
N297,青晨视频,1.0
N298,铁骥视频,1.0
N299,南航__难在_航没了,4.0
N300,中国交通,4.0
N301,中国南方航空,4.0
N302,民航消费者事务中心,4.0
N303,中国消费者协会,4.0
N304,河南新闻广播,1.0
N305,疯妹纸说不,1.0
N306,刚刚,1.0
N307,永世不枯萎,1.0
N308,燃烧之霜,2.0
N309,玄玄轩炫,1.0
N310,點新聞dotdotnews,2.0
N311,人民日報,2.0
N312,人民日報評論,2.0
N313,湖南政法,1.0
N314,Kevin叫什么,4.0
N315,三把刀llz,4.0
N316,ETF拯救世界,4.0
N317,上邪_山无棱,1.0
N318,从天而降意外之喜小号,1.0
N319,在正义的路上狂奔,3.0
N320,占豪,3.0
N321,司马南,3.0
N322,阳光的味道_sunshine,1.0
N323,自动化小木虫,1.0
N324,男德班大聪明,1.0
N325,用户5581516112,2.0
N326,大战拖延症260,1.0
N327,吃不完的蔡光光,1.0
N328,江南派FM,1.0
N329,长三角之声,1.0
N330,i舊城不暖少年心,1.0
N331,人民网评,1.0
N332,斯塔洛克斯,15.0
N333,我爱王一博他真好,1.0
N334,大河报,1.0
N335,爱OnePiece爱选手,3.0
N336,書劍論平生,1.0
N337,小李子不小了,3.0
N338,Cheerup_咩啊,1.0
N339,用户5548079015,4.0
N340,凤凰网,4.0
N341,东禾青,5.0
N342,中国历史研究院,4.0
N343,功能强大的二双,2.0
N344,玉虚龙宇君,18.0
N345,乌合麒麟,17.0
N346,劉德華範,17.0
N347,方方,17.0
