mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4775202230108974,2022-05-31 14:59,有限次重复博弈,https://weibo.com/1098173713?refer_flag=1001030103_,#人教版数学教材#刚才听几个家长在议论，说人教版教材是日本人的阴谋，抖音说的 ​,,,,,https://weibo.com/1098173713/LvylV0slE?refer_flag=1001030103_,108,69,870
4775202120011051,2022-05-31 14:59,白泉道人,https://weibo.com/2284842163?refer_flag=1001030103_,没有调查就没有发言权，亲自翻看了一下人教版小学数学教材。那些人物插画除了丑以外，还存在模式化、雷同的倾向，一个人物图反复用，太不用心了，缺少丰富性与变化。很难想象教材能这样？看了吹嘘自己导师吴勇设计的硕士论文《人教社小学数学教材插画设计探究》，更是气愤，吹的多好多好，真的做到了吗？若说插图中小孩的丑，想要刻意扮喜的话，那用同样风格创作的大人图像，那简直更没法直视，完全是个口眼斜视的怪物。总之，这种风格，我称之为大头娃娃、小丑风；创作的人物，我感觉不像中国人，怪模怪样的，倒是隐约有白人的样子。这是一怪。另外，这些插画中，西方元素相当突出，甚至还有宗教的，比如有个大图中心是个小丑的形象，很多地方反复出现小天使的形象，这一点很多人也看出来了了，还有西方品牌标志、星条旗等等。这也是一怪。海外的小学教材，插画大都突出自然元素，塑造童话唯美的世界，还有写实的风格，总体是优美的。不比不知道，一比吓一跳，教材落后了。教材难道成了某些人刻意“创新”的地方？ 收起d,iPhone客户端,,,,https://weibo.com/2284842163/LvylK02Sf?refer_flag=1001030103_,0,0,0
4775202033239087,2022-05-31 14:59,Yichi51129,https://weibo.com/1710619400?refer_flag=1001030103_,#教辅书出现问题内容是谁的责任##人教版数学教材配图争议暴露哪些问题##圆明园#   中国人自己火烧圆明园，美国人去救火?你踏马舔你美国爹舔这样?篡改历史啊 ​,HarmonyOS设备,,,https://wx2.sinaimg.cn/thumb150/65f5fb08gy1h2rlhcz517j20qo1cb44v.jpg https://wx4.sinaimg.cn/thumb150/65f5fb08gy1h2rlhk0201j20qo1bsgqf.jpg,https://weibo.com/1710619400/LvylBdADl?refer_flag=1001030103_,0,0,0
4775201986577452,2022-05-31 14:58,岑道伟art,https://weibo.com/2940357893?refer_flag=1001030103_,80，90后的回忆，给你形象深刻的又是什么呢？#人教版数学教材##教材局介入调查人教版数学教材##教育部回应教材插图事件# ​,iPhone客户端,,,https://wx2.sinaimg.cn/thumb150/af424d05ly1h2rlgcx3c0j20c6088gml.jpg https://wx1.sinaimg.cn/thumb150/af424d05ly1h2rlgd5elmj20910dat9d.jpg https://wx3.sinaimg.cn/thumb150/af424d05ly1h2rlgdf6swj20bw0a90tx.jpg https://wx3.sinaimg.cn/thumb150/af424d05ly1h2rlgdxz8pj20ci070gma.jpg https://wx2.sinaimg.cn/thumb150/af424d05ly1h2rlge8o9xj20b407h3yz.jpg https://wx1.sinaimg.cn/thumb150/af424d05ly1h2rlgej7ogj20ci08cwf6.jpg https://wx1.sinaimg.cn/thumb150/af424d05ly1h2rlger6s8j209q0djta1.jpg https://wx4.sinaimg.cn/thumb150/af424d05ly1h2rlgf38poj208w0bdabb.jpg https://wx3.sinaimg.cn/thumb150/af424d05ly1h2rlgcnruuj208w0dcmy8.jpg,https://weibo.com/2940357893/LvylwrB5W?refer_flag=1001030103_,1,0,22
4775201915802751,2022-05-31 14:58,一流评点,https://weibo.com/1575945257?refer_flag=1001030103_,#人教版数学教材插图引争议# #曹文轩#,nova7Pro你在焦点在,,,https://wx1.sinaimg.cn/orj360/504e8109gy1h2rh1qguccj20so19ygqk.jpg,https://weibo.com/1575945257/LvylpolyL?refer_flag=1001030103_,0,0,2
4775201873859879,2022-05-31 14:58,鲜豆腐脑,https://weibo.com/7735319664?refer_flag=1001030103_,#人教# #人教版数学教材#,HUAWEI Mate 30 5G,,,https://wx1.sinaimg.cn/orj360/4a169041ly1h2m92yd4mlj20go0nttel.jpg https://wx4.sinaimg.cn/orj360/4a169041ly1h2m92zo872j20go0nt47s.jpg https://wx1.sinaimg.cn/orj360/4a169041ly1h2m930rspcj20go0ntn4z.jpg https://wx4.sinaimg.cn/orj360/4a169041ly1h2m9319ataj20go0ntjx1.jpg https://wx4.sinaimg.cn/orj360/4a169041ly1h2m931yhv1j20go0ntnb7.jpg https://wx3.sinaimg.cn/orj360/4a169041ly1h2m933okpvj20go0nt17m.jpg https://wx1.sinaimg.cn/orj360/4a169041ly1h2m934n2cfj20go0nt7d8.jpg https://wx1.sinaimg.cn/orj360/4a169041ly1h2m9358fqqj20go0nt0z4.jpg https://wx4.sinaimg.cn/orj360/4a169041ly1h2m9363mpij20go0nttfv.jpg,https://weibo.com/7735319664/Lvyllgc87?refer_flag=1001030103_,0,0,0
4775201537262307,2022-05-31 14:57,是教面试的傅灵,https://weibo.com/6666534499?refer_flag=1001030103_,【面试热点预测】5.30教材插画引发争议#公务员#公务员#公务员考试##面试##公务员面试##国考##省考##素材##申论##人教版数学教材##教材局介入调查人教版数学教材##教育部回应教材插图事件# ​,iPhone 12,,,https://wx1.sinaimg.cn/thumb150/007ha69Zly1h2rlemeioxj30zk1be455.jpg https://wx3.sinaimg.cn/thumb150/007ha69Zly1h2rleloknnj30rs1127b0.jpg https://wx3.sinaimg.cn/thumb150/007ha69Zly1h2rlen0c11j30rs112k0f.jpg https://wx3.sinaimg.cn/thumb150/007ha69Zly1h2rlenk2v5j30rs112jzc.jpg https://wx4.sinaimg.cn/thumb150/007ha69Zly1h2rleoavh9j30rs112dpt.jpg https://wx4.sinaimg.cn/thumb150/007ha69Zly1h2rleov9nfj30rs1127bt.jpg,https://weibo.com/6666534499/LvykNutfZ?refer_flag=1001030103_,0,0,0
4775201369754653,2022-05-31 14:56,岑道伟art,https://weibo.com/2940357893?refer_flag=1001030103_,关于中小学教材插图，你更喜欢哪一张呢#人教版数学教材##教材局介入调查人教版数学教材##教育部回应教材插图事件##微博海选教材插图##人教版数学教材插图引争议# ​,iPhone客户端,,,https://wx3.sinaimg.cn/thumb150/af424d05ly1h2rldla7ksj208w0bdabb.jpg https://wx1.sinaimg.cn/thumb150/af424d05ly1h2rldk5kjmj208h0aldge.jpg https://wx4.sinaimg.cn/thumb150/af424d05ly1h2rldkfoy5j20bu0gbdgt.jpg https://wx1.sinaimg.cn/thumb150/af424d05ly1h2rldkqkjmj20dw0axabf.jpg https://wx1.sinaimg.cn/thumb150/af424d05ly1h2rldju5i7j208c0cht9z.jpg https://wx2.sinaimg.cn/thumb150/af424d05ly1h2rldkznbaj208w0dcmy8.jpg https://wx4.sinaimg.cn/thumb150/af424d05ly1h2rldlksbvj20a906raan.jpg https://wx4.sinaimg.cn/thumb150/af424d05ly1h2rldltaoyj20930dcq3d.jpg https://wx2.sinaimg.cn/thumb150/af424d05ly1h2rldm4d6xj20fh0c8dhk.jpg,https://weibo.com/2940357893/LvykwEVD7?refer_flag=1001030103_,0,0,1
4775201365559215,2022-05-31 14:56,合肥聒君,https://weibo.com/2144298671?refer_flag=1001030103_,#人教版数学教材不仅是美丑问题##教育部将彻查教材插图问题# 圆明园失火，漂亮国来救？西方已经有预谋的渗透到何种地步了？ ​,iPhone客户端,,,https://wx4.sinaimg.cn/orj360/7fcf66afly1h2rle4pcaaj20u01szqbu.jpg,https://weibo.com/2144298671/LvykwnkcL?refer_flag=1001030103_,1,1,19
4775201022414110,2022-05-31 14:55,小草niu,https://weibo.com/3815681133?refer_flag=1001030103_,百年大计教育为本！不仅只是插图，内容也要严格彻查，教科书的重要性说多大都不够，不能只是道歉、整改，必须深挖严惩！#毒教材整改不能避开追责问责# #教育部要求全面排查全国中小学教材# #毒教材必须引发全社会反思# #人教版数学教材不仅是美丑问题# #教育部立即部署对全国中小学教材进行全面排查#,☀ Android,,,https://wx1.sinaimg.cn/orj360/0033ImPzly1h2ocy24648j60sm0n5djt02.jpg,https://weibo.com/3815681133/LvyjYa81g?refer_flag=1001030103_,1,0,10
